"","Última Execução","Álbum Artista","Album","Artista","Título","Ano","classificação","Gênero","Compositor","Agrupar","Faixa #","Nota","BPM","Duração","Bit rate","ReplayGain","","Data Adicionada","LOCALIZAÇÃO","Comentário","Color"
"0","","","Nobody Can Stop Mguzu, Vol. 1","uLazi/Infinity MusiQ/Busta 929/Djy Vino","Nobody Can Stop Mguzu (Remastered)","2023","0","","","","","5A","113.0000","6:22","320","-3.39598 dB","mp3","2025-08-03T17:03:31.057","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Nobody Can Stop Mguzu (Remastered).mp3","",""
"0","","","Nobody Can Stop Mguzu, Vol. 1","uLazi/El-Keys","Alostro","2023","0","","","","","4A","112.0000","6:47","320","-2.30797 dB","mp3","2025-08-03T17:03:31.070","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Alostro.mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Davido/Mr Pilato/Ego Slimflow/Tebogo G Mashego/Sje Konka/Scotts Maphuma/CowBoii","Biri Marung Remix (feat. Davido, Mr Pilato, Ego Slimflow, Tebogo G Mashego, Sje Konka, Scotts Maphuma & CowBoii)","2025","0","","","","","11B","113.0000","4:46","320","-7.20125 dB","mp3","2025-08-03T17:03:31.083","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Biri Marung Remix (feat. Davido, Mr Pilato, Ego Slimflow, Tebogo G Mashego, Sje Konka, Scotts Maphuma & CowBoii).mp3","",""
"0","","","Funk Series","Shakes & Les/Focalistic/Ch'cco/Djy Biza/M.J/Pabi Cooper/Yumbs","Funk 100 (feat. Pabi Cooper, M.J, Djy Biza, Yumbs)","2024","0","","","","","10A","113.0000","5:14","320","-2.61036 dB","mp3","2025-08-03T17:03:31.097","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Funk 100 (feat. Pabi Cooper, M.J, Djy Biza, Yumbs).mp3","",""
"0","","","Presido La Pluto","Shallipopi/Zerrydl","Wet on Me","2023","0","","","","","3B","115.0000","2:17","320","-10.1186 dB","mp3","2025-08-03T17:03:31.110","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Wet on Me.mp3","",""
"0","","","Malunde","Shakes & Les/031CHOPPA/Zee Nxumalo/Springle","Malunde (feat. Springle)","2024","0","","","","","11A","113.0000","6:14","320","-0.972194 dB","mp3","2025-08-03T17:03:31.123","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Malunde (feat. Springle).mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Daliwonga/Zee Nxumalo/Blxckie/CowBoii","Amabomu (feat. Daliwonga, Zee Nxumalo, Blxckie & CowBoii)","2025","0","","","","","8A","112.0000","7:06","320","-4.76591 dB","mp3","2025-08-03T17:03:31.136","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Amabomu (feat. Daliwonga, Zee Nxumalo, Blxckie & CowBoii).mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Scotts Maphuma/LastBornDiroba/Focalistic/LeeMcKrazy/EeQue","Vimba (feat. LastBornDiroba, Focalistic, LeeMcKrazy & EeQue)","2025","0","","","","","3B","112.0000","6:37","320","-7.95418 dB","mp3","2025-08-03T17:03:31.149","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Vimba (feat. LastBornDiroba, Focalistic, LeeMcKrazy & EeQue).mp3","",""
"0","","","Funk 55 (feat. Ceeka RSA, Chley)","Shakes & Les/DBN Gogo/Zee Nxumalo/Ceeka RSA/Chley","Funk 55 (feat. Ceeka RSA, Chley)","2023","5","","","","","7A","113.0000","6:13","320","-1.70641 dB","mp3","2025-08-03T17:03:31.163","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Funk 55 (feat. Ceeka RSA, Chley).mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Black Power","2019","0","","","","","9A","116.0000","8:01","320","-6.3028 dB","mp3","2025-08-03T17:03:31.177","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Black Power.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep/Sdala","Celebration Day","2019","0","","","","","2A","111.9880","7:48","320","-4.34121 dB","mp3","2025-08-03T17:03:31.190","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Celebration Day.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Bambo Dance","2019","0","","","","","3A","112.0000","6:39","320","-4.8453 dB","mp3","2025-08-03T17:03:31.204","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Bambo Dance.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Bundle of Joy","2019","0","","","","","5A","112.0000","7:27","320","-3.77615 dB","mp3","2025-08-03T17:03:31.222","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Bundle of Joy.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Kamogelo","2019","0","","","","","9A","149.3333","7:26","320","-4.07675 dB","mp3","2025-08-03T17:03:31.236","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Kamogelo.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Untold Stories","2019","0","","","","","2A","112.0000","6:52","320","-3.81538 dB","mp3","2025-08-03T17:03:31.250","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Untold Stories.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep/King Jazz","Half Moon","2019","0","","","","","12A","112.0000","7:27","320","-2.41895 dB","mp3","2025-08-03T17:03:31.263","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Half Moon.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Tsekeleke","2019","0","","","","","9A","113.0000","7:23","320","-4.63343 dB","mp3","2025-08-03T17:03:31.277","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Tsekeleke.mp3","",""
"2","2025-08-23T14:42:57.000","","Baby Boy II: Reloaded","Vigro Deep","Ghost Producer","2019","5","","","","","2A","112.0000","7:29","320","-5.84345 dB","mp3","2025-08-03T17:03:31.290","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ghost Producer.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep/Ash/King Jazz","Baby Boy","2019","0","","","","","12A","149.3333","7:27","320","-4.23366 dB","mp3","2025-08-03T17:03:31.304","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Baby Boy.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Dimakatso","2019","0","","","","","9A","113.0000","6:52","320","-8.61454 dB","mp3","2025-08-03T17:03:31.317","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Dimakatso.mp3","",""
"0","","","Tiya Mfana (Mzokwana) [feat. Sims Noreng]","DJ Tshegu/Focalistic/Sims Noreng","Tiya Mfana (Mzokwana) [feat. Sims Noreng]","2023","0","","","","","7A","113.0000","4:25","320","-4.271 dB","mp3","2025-08-03T17:03:31.332","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Tiya Mfana (Mzokwana) [feat. Sims Noreng].mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Unborn Child","2019","0","","","","","12A","114.0000","7:36","320","-5.87715 dB","mp3","2025-08-03T17:03:31.346","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Unborn Child.mp3","",""
"0","","","BACaRDi Fest EP","Enny Man Da Guitar/Mellow & Sleazy/DJ Maphorisa/Dj Mobla/Mark Khoza/Gipa Entertainment","Pepepepe (feat. Mark Khoza & Gipa Entertainment)","2024","0","","","","","4B","112.0000","5:21","320","-3.33682 dB","mp3","2025-08-03T17:03:31.360","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Pepepepe (feat. Mark Khoza & Gipa Entertainment).mp3","",""
"0","","","Calypso : Winter Edition","Joé Dwèt Filé","Fem voyé","2022","0","","","","","2B","164.0000","3:54","320","-8.87805 dB","mp3","2025-08-03T17:03:31.374","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Fem voyé.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep/DJ Maphorisa/Ma Whoo/Tsitso","Money","2019","0","","","","","10A","113.0000","7:06","320","-3.12333 dB","mp3","2025-08-03T17:03:31.387","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Money.mp3","",""
"0","","","BACaRDi Fest EP","Enny Man Da Guitar/DJ Dadaman/Xduppy/Mr Pilato/Ego Slimflow/CowBoii/EL Mai Muziq","Tsoekere (feat. Mr Pilato, Ego Slimflow, CowBoii & EL Mai Muziq)","2024","0","","","","","1A","112.0000","7:27","320","-2.68714 dB","mp3","2025-08-03T17:03:31.401","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Tsoekere (feat. Mr Pilato, Ego Slimflow, CowBoii & EL Mai Muziq).mp3","",""
"0","","","Ke Star (feat. Virgo Deep) [Remix]","Focalistic/Davido/Virgo Deep","Ke Star (feat. Virgo Deep) - Remix","2021","0","","","","","3A","112.0000","5:28","320","-2.98898 dB","mp3","2025-08-03T17:03:31.415","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ke Star (feat. Virgo Deep) - Remix.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Come to Me","2019","0","","","","","9A","114.0172","6:48","320","-4.98731 dB","mp3","2025-08-03T17:03:31.429","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Come to Me.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Before I Fall","2019","0","","","","","9A","113.0000","6:52","320","-4.56252 dB","mp3","2025-08-03T17:03:31.442","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Before I Fall.mp3","",""
"1","2025-08-06T19:04:15.000","","Baby Boy II: Reloaded","Vigro Deep/Buckz","Uphethebani","2019","0","","","","","9A","113.0000","6:49","320","-7.13188 dB","mp3","2025-08-03T17:03:31.456","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Uphethebani.mp3","",""
"0","","","Tout gâcher","ZEG P/Anitta/Joé Dwèt Filé","Tout gâcher","2025","0","","","","","6B","84.0000","2:06","320","-10.1899 dB","mp3","2025-08-03T17:03:31.469","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Tout gâcher.mp3","",""
"0","","","Apupu","John Trouble/Carlos Monsta/Gree Cassua","Apupu","2022","0","","","","","2B","71.0448","2:00","320","-9.58849 dB","mp3","2025-08-03T17:03:31.482","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Apupu.mp3","",""
"0","","","Untold Story","DJ Vigro Deep","Untold Story","2019","0","","","","","2A","112.0000","6:52","320","-4.25646 dB","mp3","2025-08-03T17:03:31.496","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Untold Story.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep","Abashwe","2019","0","","","","","3A","112.0000","6:36","320","-4.95627 dB","mp3","2025-08-03T17:03:31.510","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Abashwe.mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep/Nokwazi","Vula Vala","2019","0","","","","","12A","113.0000","6:13","320","-6.7299 dB","mp3","2025-08-03T17:03:31.523","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Vula Vala.mp3","",""
"0","","","Baddies","Aya Nakamura/Joé Dwèt Filé","Baddies","2025","0","","","","","8B","80.0000","3:27","320","-10.0896 dB","mp3","2025-08-03T17:03:31.537","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Baddies.mp3","",""
"0","","","BACaRDi Fest EP","Team Kapa Kapa/Nyico Loco/Xduppy/Mr Pilato/Kabelo Sings/Ego Slimflow","Bophelo Bo Botse (feat. Mr Pilato, Kabelo Sings & Ego Slimflow)","2024","0","","","","","6A","114.0000","6:44","320","-3.24815 dB","mp3","2025-08-03T17:03:31.551","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Bophelo Bo Botse (feat. Mr Pilato, Kabelo Sings & Ego Slimflow).mp3","",""
"0","","","4 Kampé","Joé Dwèt Filé","4 Kampé","2024","0","","","","","2A","92.0000","3:34","320","-9.64292 dB","mp3","2025-08-03T17:03:31.567","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/4 Kampé.mp3","",""
"0","","","BACaRDi Fest EP","Kabza De Small/Mr JazziQ/DJ Maphorisa/Uncool MC/Scotts Maphuma/LeeMcKrazy/Tumilemang","Kwenzakalan (feat. Uncool MC, Scotts Maphuma, LeeMcKrazy & Tumilemang)","2024","0","","","","","4A","113.0000","6:25","320","-3.44121 dB","mp3","2025-08-03T17:03:31.581","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Kwenzakalan (feat. Uncool MC, Scotts Maphuma, LeeMcKrazy & Tumilemang).mp3","",""
"0","","","Baby Boy II: Reloaded","Vigro Deep/Ash/King Jazz","Skorokoro","2019","0","","","","","2A","112.0000","7:29","320","-2.71017 dB","mp3","2025-08-03T17:03:31.595","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Skorokoro.mp3","",""
"0","","","BACaRDi Fest EP","Enny Man Da Guitar/DJ Maphorisa/Xduppy/Tsitso/Mr Pilato/Ego Slimflow/CowBoii/EL Mai Muziq","Chomiyaka Jo (feat. Tsitso, Mr Pilato, Ego Slimflow, CowBoii & EL Mai Muziq)","2024","0","","","","","7A","112.0000","8:01","320","-7.13391 dB","mp3","2025-08-03T17:03:31.609","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Chomiyaka Jo (feat. Tsitso, Mr Pilato, Ego Slimflow, CowBoii & EL Mai Muziq).mp3","",""
"0","","","BACaRDi Fest EP","Team Kapa Kapa/Mr Pilato/Xduppy/DeBow Taliana/DJ Maphorisa","Mo Rekisetse 'Manyikinyoso' (feat. DeBow Taliana & DJ Maphorisa)","2024","0","","","","","8A","112.0000","7:21","320","-4.4352 dB","mp3","2025-08-03T17:03:31.623","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Mo Rekisetse 'Manyikinyoso' (feat. DeBow Taliana & DJ Maphorisa).mp3","",""
"0","","","Mr. Versatile","KCee","Ojapiano","2024","0","","","","","2A","114.0000","2:48","320","-9.13801 dB","mp3","2025-08-03T17:03:31.637","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ojapiano.mp3","",""
"0","","","Mr. Versatile","KCee/Jaya","Slow Mo","2024","0","","","","","9A","102.0000","2:55","320","-11.1343 dB","mp3","2025-08-03T17:03:31.651","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Slow Mo.mp3","",""
"0","","","Mr. Versatile","KCee","Agenda","2024","0","","","","","12A","100.0000","2:45","320","-8.73089 dB","mp3","2025-08-03T17:03:31.665","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Agenda.mp3","",""
"0","","","Mr. Versatile","KCee","Hallelujah","2024","0","","","","","2A","87.0000","2:51","320","-9.62404 dB","mp3","2025-08-03T17:03:31.679","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Hallelujah.mp3","",""
"0","","","Mr. Versatile","KCee","Ganja Man","2024","0","","","","","8B","95.4167","2:59","320","-7.99426 dB","mp3","2025-08-03T17:03:31.693","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ganja Man.mp3","",""
"0","","","Mr. Versatile","KCee","Into You","2024","0","","","","","12A","100.0000","2:55","320","-9.78116 dB","mp3","2025-08-03T17:03:31.707","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Into You.mp3","",""
"0","","","Mr. Versatile","KCee/Oxlade","I Pray","2024","0","","","","","11B","113.0000","2:45","320","-10.3924 dB","mp3","2025-08-03T17:03:31.720","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/I Pray.mp3","",""
"0","","","Mr. Versatile","KCee","Big Fish","2024","0","","","","","6A","89.0000","3:06","320","-10.4018 dB","mp3","2025-08-03T17:03:31.734","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Big Fish.mp3","",""
"0","","","Mr. Versatile","KCee/Didi B","Feel Am","2024","0","","","","","1B","114.0000","2:59","320","-10.5155 dB","mp3","2025-08-03T17:03:31.748","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Feel Am.mp3","",""
"0","","","Mr. Versatile","KCee","Finally Finally","2024","0","","","","","9B","115.0000","2:09","320","-9.66355 dB","mp3","2025-08-03T17:03:31.762","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Finally Finally.mp3","",""
"0","","","Mr. Versatile","KCee","Ojaginger","2024","0","","","","","3B","114.0000","3:00","320","-9.63097 dB","mp3","2025-08-03T17:03:31.776","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ojaginger.mp3","",""
"0","","","Mr. Versatile","KCee","Level Up","2024","0","","","","","5B","100.0000","2:35","320","-10.4429 dB","mp3","2025-08-03T17:03:31.789","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Level Up.mp3","",""
"0","","","Mr. Versatile","KCee","Sista Blessing","2024","0","","","","","5A","98.0000","2:46","320","-11.3142 dB","mp3","2025-08-03T17:03:31.803","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Sista Blessing.mp3","",""
"1","2025-08-03T17:09:25.000","","Mr. Versatile","KCee","Hypnotize","2024","0","","","","","4B","100.0000","2:19","320","-10.2058 dB","mp3","2025-08-03T17:03:31.817","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Hypnotize.mp3","",""
"0","","","Mr. Versatile","KCee/Skiibii/Teni","Ebelebe","2024","0","","","","","10A","114.0000","2:52","320","-9.74216 dB","mp3","2025-08-03T17:03:31.831","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ebelebe.mp3","",""
"0","","","Mr. Versatile","KCee/Kanika Kapoor","Motor","2024","0","","","","","3A","105.0000","2:46","320","-11.4711 dB","mp3","2025-08-03T17:03:31.845","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Motor.mp3","",""
"0","","","Mr. Versatile","KCee/OneRepublic","Ojapiano - Remix","2024","0","","","","","2A","114.0000","2:17","320","-10.184 dB","mp3","2025-08-03T17:03:31.858","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ojapiano - Remix.mp3","",""
"0","","","Mr. Versatile","KCee","Better Mama","2024","0","","","","","2B","120.0000","3:00","320","-11.7788 dB","mp3","2025-08-03T17:03:31.872","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Better Mama.mp3","",""
"0","","","Mr. Versatile","KCee/Diamond Platnumz/ODUMODUBLVCK","Ojapiano - Afro Remix","2024","0","","","","","2A","114.0000","2:48","320","-10.2686 dB","mp3","2025-08-03T17:03:31.887","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ojapiano - Afro Remix.mp3","",""
"0","","","Mr. Versatile","KCee","Obalende","2024","0","","","","","11B","112.0000","2:40","320","-10.2645 dB","mp3","2025-08-03T17:03:31.900","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Obalende.mp3","",""
"0","","","Nka ta skeceu","INDIRA/Garry","Nka ta skeceu","2025","0","","","","","12B","97.0000","3:00","320","-8.63145 dB","mp3","2025-08-03T17:03:31.914","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Nka ta skeceu.mp3","",""
"0","","","Papa Mobimba Remix","rash revolution photography","Papa Mobimba Remix","2019","0","","","","","4A","121.6273","5:47","320","-6.88038 dB","mp3","2025-08-03T17:03:31.928","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Papa Mobimba Remix.mp3","",""
"1","2025-08-23T13:43:45.000","","Djan Bem","INDIRA","Djan Bem","2025","0","","","","","12A","70.0000","3:03","320","-8.73085 dB","mp3","2025-08-03T17:03:31.945","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Djan Bem.mp3","",""
"0","","","Di Alma","INDIRA","Bu Bai","2024","0","","","","","12B","100.0000","3:18","320","-8.10288 dB","mp3","2025-08-03T17:03:31.960","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Bu Bai.mp3","",""
"0","","","Di Alma","INDIRA","Mama","2024","0","","","","","7B","112.0000","2:41","320","-11.0133 dB","mp3","2025-08-03T17:03:31.978","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Mama.mp3","",""
"0","","","Shayimpempe","Mavuthela/Swizz Panache/Ribby","Shayimpempe","2021","5","","","","","1A","113.0000","4:15","320","-4.05967 dB","mp3","2025-08-03T17:03:32.017","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Shayimpempe - Mavuthela, Swizz, Ribby.mp3","",""
"0","","","","Z3NA","Afrobeat Instrumental 2025 Burna Boy Type Beat ""UNO"" Afrobeat Type Beat","2025","0","","","","","10A","106.0000","2:32","320","-9.05536 dB","mp3","2025-08-03T17:03:32.050","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Afrobeat Instrumental 2025 Burna Boy Type Beat ＂UNO＂ Afrobeat Type Beat.mp3","https://www.youtube.com/watch?v=T6klHoeuMJ0",""
"0","","","","SongLy","Daramola - Sweet Mother Africa (lyrics)","2024","0","","","","","11A","100.0000","4:11","320","-10.1412 dB","mp3","2025-08-03T17:03:32.079","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Daramola - Sweet Mother Africa (lyrics).mp3","https://www.youtube.com/watch?v=kzUHEeCCpQY",""
"0","","","Patek","Mr Eazi/Joey B/DJ Tarico","Patek","2022","5","","","","","1A","113.0000","3:38","320","-6.26805 dB","mp3","2025-08-03T17:03:32.096","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Patek.mp3","",""
"0","","","Visit Bongo","Harmonize/Nkosazana Daughter","Single Again (Remix) [feat. Nkosazana Daughter]","2023","0","","","","","5B","110.0154","3:53","320","-8.81384 dB","mp3","2025-08-03T17:03:32.113","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Single Again (Remix) [feat. Nkosazana Daughter].mp3","",""
"0","","","Single Again (feat. Ruger) [Remix]","Harmonize/Ruger","Single Again (feat. Ruger) - Remix","2023","0","","","","","5B","110.0135","3:56","320","-9.00852 dB","mp3","2025-08-03T17:03:32.131","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Single Again (feat. Ruger) - Remix.mp3","",""
"0","","","Zaranza","Nerú Americano","Zaranza","2017","0","","","","","3B","130.0000","3:37","320","-7.20483 dB","mp3","2025-08-03T17:03:32.146","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Zaranza.mp3","",""
"0","","","Resistência","Diboba/Dj Habias","Queres Quê","2024","0","","","","","7A","124.0000","3:38","320","-1.82703 dB","mp3","2025-08-03T17:03:32.165","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Queres Quê.mp3","",""
"0","","","TAMBULELENO","Ingomblock","TAMBULELENO","2022","0","","","","","6A","132.0000","3:04","320","-8.58162 dB","mp3","2025-08-03T17:03:32.182","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/TAMBULELENO.mp3","",""
"0","","","Mimosa","Diboba/Lurdes Miranda","Mimosa","2023","0","","","","","5A","123.0000","3:30","320","-6.77001 dB","mp3","2025-08-03T17:03:32.201","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Mimosa.mp3","",""
"1","2025-08-23T14:35:13.000","","Cabedal","Diboba/Márcio Beats","Cabedal","2025","0","","","","","2A","122.0000","3:44","320","-8.32547 dB","mp3","2025-08-03T17:03:32.218","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Cabedal.mp3","",""
"1","2025-08-23T14:37:25.000","","Vou Mexer","Diboba/Elly Baby","Vou Mexer","2025","0","","","","","9A","125.0000","3:33","320","-9.028 dB","mp3","2025-08-03T17:03:32.235","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Vou Mexer.mp3","",""
"0","","","Esse É Doo","Elly Baby","Esse É Doo","2024","0","","","","","9A","94.0000","2:12","320","-8.90416 dB","mp3","2025-08-03T17:03:32.252","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Esse É Doo.mp3","",""
"0","","","Suco","Ingomblock","Suco","2021","0","","","","","7A","130.0000","3:21","320","-10.4849 dB","mp3","2025-08-03T17:03:32.267","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Suco.mp3","",""
